"filename", "language", "JSON", "JSON with Comments", "TypeScript", "HTML", "Batch", "Markdown", "JavaScript", "TypeScript JSX", "PostCSS", "XML", "comment", "blank", "total"
"c:\Code\2024\linlaw\src\components\FormBuilder\Fields\Inputs\DateInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 8, 50
"c:\Code\2024\linlaw\src\components\FormBuilder\Fields\Inputs\DateTimeInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 8, 53
"c:\Code\2024\linlaw\src\components\FormBuilder\Fields\Inputs\GeneralInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 131, 0, 0, 1, 10, 142
"c:\Code\2024\linlaw\src\components\FormBuilder\Fields\Inputs\IconSelector.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 5, 69
"c:\Code\2024\linlaw\src\components\FormBuilder\Fields\Inputs\LanguageJsonTextInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 9, 86
"c:\Code\2024\linlaw\src\components\FormBuilder\Fields\Inputs\LanguageJsonTextarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 1, 9, 94
"c:\Code\2024\linlaw\src\components\FormBuilder\Fields\Inputs\MediaSelector.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 501, 0, 0, 1, 68, 570
"c:\Code\2024\linlaw\src\components\FormBuilder\Fields\Inputs\ResponsiveImagesInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 14, 114
"c:\Code\2024\linlaw\src\components\FormBuilder\Fields\Inputs\RoleSelector.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 3, 13, 111
"c:\Code\2024\linlaw\src\components\FormBuilder\Fields\Inputs\SizeInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 113, 0, 0, 3, 11, 127
"c:\Code\2024\linlaw\src\components\FormBuilder\Fields\Inputs\SupportedLanguageSelector.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 3, 29
"c:\Code\2024\linlaw\src\components\FormBuilder\Fields\Inputs\SupportedLanguageSelector.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 13, 110
"c:\Code\2024\linlaw\src\components\FormBuilder\Fields\Inputs\SwitchInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 15, 70
"c:\Code\2024\linlaw\src\components\FormBuilder\Fields\Inputs\TimeInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 8, 52
"c:\Code\2024\linlaw\src\components\FormBuilder\Fields\Inputs\UserSelector.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 10, 97
"c:\Code\2024\linlaw\src\components\FormBuilder\Fields\Inputs\UsersSelector.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 228, 0, 0, 12, 18, 258
"c:\Code\2024\linlaw\src\components\FormBuilder\Fields\Inputs\sortable\SortableTag.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 5, 33
"c:\Code\2024\linlaw\src\components\FormBuilder\Fields\extra\FieldTitle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 4, 46
"c:\Code\2024\linlaw\src\components\FormBuilder\InputStyle.ts", "TypeScript", 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 13, 17, 144
"c:\Code\2024\linlaw\src\components\FormBuilder\Jsons\JsonChildDesignRenderer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 7, 107
"c:\Code\2024\linlaw\src\components\FormBuilder\Jsons\JsonDesignRenderer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 165, 0, 0, 0, 26, 191
"c:\Code\2024\linlaw\src\components\FormBuilder\Jsons\JsonDesigns\JsonDefaultCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 1, 6, 61
"c:\Code\2024\linlaw\src\components\FormBuilder\Jsons\JsonDesigns\JsonFlatCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 1, 8, 63
